k,x^k_1,x^k_2,d^k_1,d^k_2,||d^k||_2,alpha^k,f(x^k)
0,40.0,-100.0,-286.0,1406.0,1434.7933649135682,0.13421772800000006,76050.0
1,1.6137297919999796,88.71012556800008,-461.82522368,-1421.430658048001,1494.5727325446078,0.08589934592000005,63152.85015664831
2,-38.05675485146974,-33.38983822895847,942.0842881741871,730.5211859206842,1192.134224449423,0.06871947673600004,30498.894311239637
3,26.682784473067464,16.811195412073147,-603.7116665217151,-396.3930489585077,722.2154980039188,0.06871947673600004,11159.061566304435
4,-14.803965349723349,-10.428727494143146,362.22294446518265,246.87946665490708,438.3548021327452,0.06871947673600004,4113.40124012087
5,10.087805855697205,6.53670027124484,-220.43961847016828,-149.02623361840347,266.08728586266636,0.06871947673600004,1518.7212060699032
6,-5.060689377456249,-3.7043045229487443,133.7353101638687,90.57231925446115,161.51928120121818,0.06871947673600004,562.6878969137225
7,4.129531158131474,2.5197778629837675,-81.18951247754832,-54.96410159839765,98.04483362656572,0.06871947673600004,210.4199222821149
8,-1.449769655776593,-1.2573264381224623,49.28202530614417,33.36607128884236,59.51481102656334,0.06871947673600004,80.62018112070469
9,1.9368653357519467,1.0355725215828593,-29.915169322953233,-20.25348702408548,36.126459724913,0.06871947673600004,32.793029636565834
30,0.6575912959851141,0.16946727230285125,0.0008377187834600619,0.000567163228809342,0.0010116555185809269,0.06871947673600004,4.888135615102736
31,0.6576488635815654,0.16950624746315893,-0.0005085089471030813,-0.00034427731836927933,0.0006140913785646452,0.06871947673600004,4.888135601283319
32,0.6576139191128049,0.16948258890598852,0.00030867321395966485,0.0002089819401591697,0.00037276346968135145,0.06871947673600004,4.888135596191295
33,0.6576351309745506,0.16949695003556353,-0.0001873696688310389,-0.0001268554417697132,0.0002262734980161006,0.06871947673600004,4.888135594315043
34,0.6576222550289523,0.169488232595984,0.00011373644103329639,7.700331949411776e-05,0.0001373516990504074,0.06871947673600004,4.888135593623704
35,0.6576300709376659,0.16949352422380656,-6.903987235062914e-05,-4.6742269233845946e-05,8.337471863413098e-05,0.06871947673600004,4.888135593368965
36,0.657625326553764,0.16949031211952337,4.190832710193604e-05,2.8373318805563486e-05,5.060981229489998e-05,0.06871947673600004,4.888135593275103
37,0.6576282064720733,0.16949226191914496,-2.5439037189656233e-05,-1.7223066685723154e-05,3.072098044004422e-05,0.06871947673600004,4.888135593240516
38,0.657626458314749,0.16949107835901453,1.5441909948066268e-05,1.0454682023208761e-05,1.8648135538186985e-05,0.06871947673600004,4.8881355932277755
39,0.6576275194747204,0.1694917967992926,-9.373490870601131e-06,-6.346162283676904e-06,1.131972202980294e-05,0.06871947673600004,4.8881355932230806
